solver_type,solution_found,time_elapsed,max_memory_mb,avg_memory_mb,states_processed,moves,seed
gready-single-core,1,0.497081952,131.6796875,131.6796875,713,112,1f4dc7c251b6e6b9
gready-single-core,1,6.937740645,177.953125,153.890625,11434,116,9958e61d51adfb2d
gready-single-core,1,2.293872859,150.16796875,143.16796875,3092,108,8dd56281b87c5ac1
gready-single-core,1,0.545181125,137.04296875,137.04296875,458,89,ced34206425c7252
gready-single-core,0,211.854897589,1335.4296875,711.5265774521531,300000,0,7e344f6b1e0509da
gready-single-core,1,0.584819608,71.98828125,71.98828125,1142,105,e5862e2fa78c44a7
gready-single-core,1,5.322473327,192.2265625,106.26227678571429,9905,121,ee43af3a334dafbb
gready-single-core,1,9.185147712,270.5625,153.55143229166666,8733,117,b862692539cf5f21
gready-single-core,1,0.985167442,69.3125,64.3125,1381,102,3a1bd50ba5248a51
gready-single-core,1,55.904641144,1082.890625,357.90963152985074,80699,123,ed5181f8cfe2d35c
gready-single-core,1,0.114402841,96.75,96.75,148,77,4367e04b1e43f88e
gready-single-core,1,0.25247282,96.14453125,96.14453125,339,108,e3af176ed6a0db1a
gready-single-core,1,0.156976866,97.265625,97.265625,232,106,2413502c8017a68f
gready-single-core,1,0.215487773,96.7890625,96.7890625,195,83,884273e26068b2b3
gready-single-core,1,0.191970681,99.27734375,99.27734375,302,105,b064ec84283d7fa3
gready-single-core,1,0.459415443,98.578125,98.578125,687,103,765a879ced5a75a4
gready-single-core,1,0.246069987,97.953125,97.953125,207,87,9f7d9787ade4da6c
gready-single-core,0,226.48773885,1677.296875,891.2671664798206,300000,0,75fcb5cf94cdc2c2
gready-single-core,0,247.174187012,1794.48046875,1072.277599897541,300000,0,fee35d7444e2af74
gready-single-core,1,0.598394339,81.90234375,81.90234375,1086,89,84d2781827c00f45
gready-single-core,0,153.468480641,1266.921875,704.9786184210526,300000,0,70625668ff8f6fcb
gready-single-core,1,0.559010395,210.15625,210.15625,999,122,58a4ec708e25f6e2
gready-single-core,1,2.747926885,162.5546875,120.9609375,3643,82,efa7ace5eabdcc16
gready-single-core,1,0.303235464,97.703125,97.703125,378,114,45364c0ab7206127
gready-single-core,1,0.693101207,97.1875,97.1875,582,93,92e588f42ef1929b
gready-single-core,1,0.150554323,97.5625,97.5625,220,84,18a92e03d7067d24
gready-single-core,1,2.295136683,109.609375,102.44270833333333,3711,112,9a39d1826adb1146
gready-single-core,1,0.140146275,97.37890625,97.37890625,105,89,82d38cc7e081515c
gready-single-core,1,0.167165407,96.484375,96.484375,281,103,53263015e12cfb5a
gready-single-core,1,0.461488983,98.06640625,98.06640625,583,107,41a2122ffcd60d7f
gready-single-core,0,152.956366479,1161.1640625,665.0004111842105,300000,0,6890c1a6b955c0f8
gready-single-core,0,287.634422959,2473.6171875,1286.460497359155,300000,0,5a33d9074715070e
gready-single-core,1,1.101355691,105.96484375,102.27734375,1713,89,57f1d20dd39cd08f
gready-single-core,1,0.182902506,61.56640625,61.56640625,167,104,5e9f15812b625f2d
gready-single-core,1,0.508063649,103.02734375,103.02734375,656,97,067b68d1f07d7aaa
gready-single-core,1,0.194278039,62.73046875,62.73046875,224,89,c71eaca60a0d2b55
gready-single-core,1,1.491431766,71.82421875,67.13671875,1839,114,ea13c2b1b3572198
gready-single-core,1,2.574177993,159.9140625,124.8828125,3784,119,bb0db97e686c2c73
gready-single-core,1,0.139564411,120.49609375,120.49609375,149,107,f4950ccc3aad0471
gready-single-core,1,1.787570314,126.43359375,89.10026041666667,3327,116,38576a79435b24f2
gready-single-core,1,0.330629428,65.92578125,65.92578125,1023,119,ef45912e08b11ad1
gready-single-core,1,0.160840691,66.15234375,66.15234375,198,101,58847225dde8d80b
gready-single-core,1,7.701516605,179.28125,109.77734375,13705,114,033e9e3f58d05c51
gready-single-core,1,5.875896547,129.265625,74.96205357142857,9760,130,b66089bf48724f72
gready-single-core,1,0.40736167,56.17578125,56.17578125,571,89,42604998852a8206
gready-single-core,1,173.454016538,2188.22265625,724.4995877826633,280068,98,aa735dbd28392518
gready-single-core,1,43.46381055,967.50390625,366.33291568396226,42707,82,1ed822efbf54928d
gready-single-core,1,15.366535059,489.19921875,227.23828125,14475,115,2d05f1303243d11c
gready-single-core,0,263.669752078,1937.0078125,1020.978597940613,300000,0,3a983d6a9e0b4e2b
gready-single-core,1,0.158153468,58.16796875,58.16796875,151,87,88f9afdd80d47c72
gready-single-core,0,224.294660807,1401.95703125,760.2941353223982,300000,0,57b4de4257c9cce5
gready-single-core,1,0.165782839,82.40234375,82.40234375,191,94,391e88b717e318e6
gready-single-core,1,14.560670284,307.3671875,141.9811580882353,20857,150,92474a9e8ec9c6f6
gready-single-core,1,0.125378097,103.109375,103.109375,116,94,576437554ef25b77
gready-single-core,1,0.166673973,103.01953125,103.01953125,178,98,38957ad8960da952
gready-single-core,1,178.27451635,4223.20703125,1493.6523266173247,137218,121,027fc91ecf4d5b25
gready-single-core,0,322.463833713,3041.23828125,1677.3390084512578,300000,0,f5ff7e21131ef4cb
gready-single-core,1,0.106619854,210.15625,210.15625,100,88,c90b3fbd57dbf693
gready-single-core,0,200.21717502,1211.3671875,642.3791824494949,300000,0,271cb588a299e063
gready-single-core,1,0.140484661,58.26953125,58.26953125,123,97,848641aa250af663
gready-single-core,1,0.162853675,58.51953125,58.51953125,178,93,f91204dd9e8427f3
gready-single-core,1,92.491202004,1844.29296875,489.46846064814815,204845,117,d02972adb79ac4f4
gready-single-core,1,0.08053139,78.671875,78.671875,109,85,aa6e0a945863ad68
gready-single-core,1,37.725193474,870.7265625,316.7849069148936,84556,115,6bf867294284c656
gready-single-core,1,77.397764922,2078.40234375,702.4900934278351,89748,99,3cbbcba63e361aaf
gready-single-core,1,3.478796023,172.3671875,125.6171875,5821,117,4121461c75186b1d
gready-single-core,1,2.143448109,117.0703125,110.15364583333333,2955,134,33ed05286235907e
gready-single-core,1,0.104570337,114.94140625,114.94140625,97,79,2a1bf181abe12ca7
gready-single-core,1,0.153565118,115.08984375,115.08984375,354,100,5cd687b94477ea37
gready-single-core,1,0.140073469,115.453125,115.453125,147,90,d1ff4a574516cea1
gready-single-core,1,0.59260466,116.36328125,116.36328125,525,154,dc9088f4c133e003
gready-single-core,1,0.333438673,116.1796875,116.1796875,456,95,be2df86c23019840
gready-single-core,1,0.24489675,115.21484375,115.21484375,436,115,d5d0e5414d7b15c0
gready-single-core,1,0.922093872,130.71484375,123.02734375,1643,103,8a603eb6aff64a7b
gready-single-core,1,0.206004643,115.3515625,115.3515625,117,84,0dc939c1a96acaf5
gready-single-core,1,0.278871841,115.27734375,115.27734375,242,93,755959de4ffa000c
gready-single-core,0,246.421540905,1666.15234375,864.9774466306584,300000,0,29e2db0516c79091
gready-single-core,0,191.645004822,1480.6640625,892.6071841931217,300000,0,40bddc29c05bb52d
gready-single-core,1,0.257625141,209.15625,209.15625,144,93,1abf4b2f07751a52
gready-single-core,1,0.110799187,210.9921875,210.9921875,130,97,7a56665bdb836ca9
